model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
efficientformerv2_s0,baseline_s42,42,1,7.821829,0.017708,0.059028,0.094250,387.95
efficientformerv2_s0,baseline_s42,42,2,6.612697,0.159978,0.335918,0.428424,385.79
efficientformerv2_s0,baseline_s42,42,3,5.271980,0.315668,0.536483,0.626985,388.02
efficientformerv2_s0,baseline_s42,42,4,4.488718,0.406924,0.631789,0.714664,389.14
efficientformerv2_s0,baseline_s42,42,5,4.045249,0.461751,0.682716,0.756996,385.22
efficientformerv2_s0,baseline_s42,42,6,3.760664,0.500011,0.717443,0.786488,376.78
efficientformerv2_s0,baseline_s42,42,7,3.561194,0.525711,0.739913,0.804972,389.94
efficientformerv2_s0,baseline_s42,42,8,3.411418,0.545983,0.756888,0.819470,393.88
efficientformerv2_s0,baseline_s42,42,9,3.286638,0.563605,0.770676,0.829294,393.06
efficientformerv2_s0,baseline_s42,42,10,3.187924,0.578405,0.780866,0.840367,397.13
efficientformerv2_s0,baseline_s42,42,11,3.104079,0.586958,0.790668,0.847670,382.48
efficientformerv2_s0,baseline_s42,42,12,3.030122,0.599000,0.796204,0.850298,383.40
efficientformerv2_s0,baseline_s42,42,13,2.969430,0.603137,0.801568,0.854284,376.03
efficientformerv2_s0,baseline_s42,42,14,2.912244,0.612379,0.806114,0.857968,387.84
efficientformerv2_s0,baseline_s42,42,15,2.857058,0.613994,0.809108,0.860553,380.10
efficientformerv2_s0,baseline_s42,42,16,2.813860,0.623473,0.814128,0.865120,391.26
efficientformerv2_s0,baseline_s42,42,17,2.767194,0.626812,0.816067,0.865874,382.36
efficientformerv2_s0,baseline_s42,42,18,2.731499,0.632715,0.822336,0.870699,385.25
efficientformerv2_s0,baseline_s42,42,19,2.698830,0.634223,0.824167,0.872466,392.94
efficientformerv2_s0,baseline_s42,42,20,2.663449,0.642646,0.826795,0.873996,387.45
efficientformerv2_s0,baseline_s42,42,21,2.631952,0.639716,0.823844,0.873608,382.90
efficientformerv2_s0,baseline_s42,42,22,2.608970,0.644111,0.828605,0.876214,386.36
efficientformerv2_s0,baseline_s42,42,23,2.572660,0.646783,0.829531,0.876882,378.94
efficientformerv2_s0,baseline_s42,42,24,2.548564,0.650768,0.831061,0.878347,385.66
efficientformerv2_s0,baseline_s42,42,25,2.524704,0.652427,0.831750,0.878498,382.47
efficientformerv2_s0,baseline_s42,42,26,2.503057,0.655120,0.832181,0.879166,383.14
efficientformerv2_s0,baseline_s42,42,27,2.479870,0.656434,0.835132,0.879877,376.65
efficientformerv2_s0,baseline_s42,42,28,2.462190,0.660096,0.837760,0.882333,380.81
efficientformerv2_s0,baseline_s42,42,29,2.437753,0.660312,0.837696,0.882505,383.99
efficientformerv2_s0,baseline_s42,42,30,2.418623,0.661733,0.839075,0.883496,390.56
efficientformerv2_s0,baseline_s42,42,31,2.402228,0.663328,0.839247,0.883324,390.06
efficientformerv2_s0,baseline_s42,42,32,2.384394,0.666990,0.841250,0.885284,383.66
efficientformerv2_s0,baseline_s42,42,33,2.369943,0.669316,0.842457,0.885069,391.94
efficientformerv2_s0,baseline_s42,42,34,2.354553,0.667291,0.841724,0.884422,401.62
efficientformerv2_s0,baseline_s42,42,35,2.339335,0.669726,0.843189,0.885801,393.52
efficientformerv2_s0,baseline_s42,42,36,2.323008,0.671061,0.843297,0.886663,391.33
efficientformerv2_s0,baseline_s42,42,37,2.314381,0.672871,0.843275,0.886361,389.97
efficientformerv2_s0,baseline_s42,42,38,2.297030,0.671708,0.844956,0.884961,395.96
efficientformerv2_s0,baseline_s42,42,39,2.284189,0.674379,0.845645,0.887568,385.99
efficientformerv2_s0,baseline_s42,42,40,2.269706,0.676727,0.846507,0.888903,389.20
efficientformerv2_s0,baseline_s42,42,41,2.262266,0.675348,0.846399,0.887718,389.21
efficientformerv2_s0,baseline_s42,42,42,2.248712,0.679097,0.847455,0.889614,392.00
efficientformerv2_s0,baseline_s42,42,43,2.242701,0.677395,0.846744,0.889463,395.19
efficientformerv2_s0,baseline_s42,42,44,2.231357,0.679549,0.848295,0.889356,388.21
efficientformerv2_s0,baseline_s42,42,45,2.221647,0.678429,0.847606,0.889528,390.31
efficientformerv2_s0,baseline_s42,42,46,2.214466,0.679657,0.847045,0.889506,386.50
efficientformerv2_s0,baseline_s42,42,47,2.197784,0.681531,0.849781,0.890131,385.98
efficientformerv2_s0,baseline_s42,42,48,2.197508,0.682867,0.850751,0.890390,380.25
efficientformerv2_s0,baseline_s42,42,49,2.183464,0.683082,0.849221,0.889700,391.46
efficientformerv2_s0,baseline_s42,42,50,2.172645,0.683341,0.849760,0.891575,381.47
efficientformerv2_s0,baseline_s42,42,51,2.166797,0.686034,0.850083,0.891768,380.60
efficientformerv2_s0,baseline_s42,42,52,2.157874,0.684396,0.849264,0.889937,391.12
efficientformerv2_s0,baseline_s42,42,53,2.156219,0.685000,0.851354,0.890842,377.85
efficientformerv2_s0,baseline_s42,42,54,2.150359,0.685452,0.851009,0.891704,372.49
efficientformerv2_s0,baseline_s42,42,55,2.141813,0.687391,0.851720,0.892458,379.24
efficientformerv2_s0,baseline_s42,42,56,2.134393,0.687886,0.852840,0.892436,376.15
efficientformerv2_s0,baseline_s42,42,57,2.127466,0.687714,0.851677,0.891144,378.95
efficientformerv2_s0,baseline_s42,42,58,2.124426,0.688447,0.853056,0.892544,386.21
efficientformerv2_s0,baseline_s42,42,59,2.118732,0.687779,0.852302,0.891919,419.57
efficientformerv2_s0,baseline_s42,42,60,2.117963,0.688210,0.851268,0.890605,440.07
efficientformerv2_s0,baseline_s42,42,61,2.112722,0.688339,0.852173,0.892738,441.48
efficientformerv2_s0,baseline_s42,42,62,2.107331,0.687628,0.853422,0.892738,441.97
efficientformerv2_s0,baseline_s42,42,63,2.100769,0.689459,0.853034,0.893470,441.58
efficientformerv2_s0,baseline_s42,42,64,2.099458,0.691958,0.853767,0.893363,439.25
efficientformerv2_s0,baseline_s42,42,65,2.094076,0.689782,0.853401,0.892350,438.86
efficientformerv2_s0,baseline_s42,42,66,2.091086,0.691010,0.853681,0.893320,440.10
