model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
efficientformerv2_s0,clahe_s44,44,1,7.822810,0.017730,0.057003,0.092828,283.47
efficientformerv2_s0,clahe_s44,44,2,6.616311,0.161658,0.337362,0.429652,275.32
efficientformerv2_s0,clahe_s44,44,3,5.298129,0.311252,0.527219,0.616903,284.07
efficientformerv2_s0,clahe_s44,44,4,4.531763,0.396713,0.621211,0.702148,282.94
efficientformerv2_s0,clahe_s44,44,5,4.090389,0.455632,0.676619,0.751697,285.12
efficientformerv2_s0,clahe_s44,44,6,3.808652,0.492040,0.709408,0.778711,282.84
efficientformerv2_s0,clahe_s44,44,7,3.608630,0.521704,0.734936,0.797561,280.66
efficientformerv2_s0,clahe_s44,44,8,3.455613,0.541459,0.748530,0.811392,275.18
efficientformerv2_s0,clahe_s44,44,9,3.337988,0.557810,0.763351,0.824059,277.27
efficientformerv2_s0,clahe_s44,44,10,3.233623,0.572977,0.773950,0.830824,277.68
efficientformerv2_s0,clahe_s44,44,11,3.156448,0.584179,0.782740,0.838514,276.22
efficientformerv2_s0,clahe_s44,44,12,3.081065,0.591353,0.790711,0.845494,281.82
efficientformerv2_s0,clahe_s44,44,13,3.016993,0.600616,0.794632,0.849200,286.10
efficientformerv2_s0,clahe_s44,44,14,2.957934,0.604429,0.798638,0.850772,287.30
efficientformerv2_s0,clahe_s44,44,15,2.905653,0.612055,0.804520,0.856438,287.11
efficientformerv2_s0,clahe_s44,44,16,2.858331,0.616536,0.806674,0.857881,280.28
efficientformerv2_s0,clahe_s44,44,17,2.818691,0.625864,0.811650,0.862599,284.38
efficientformerv2_s0,clahe_s44,44,18,2.779237,0.627006,0.814688,0.862169,283.17
efficientformerv2_s0,clahe_s44,44,19,2.745182,0.629204,0.815420,0.864840,279.15
efficientformerv2_s0,clahe_s44,44,20,2.710374,0.631896,0.817769,0.866757,281.37
efficientformerv2_s0,clahe_s44,44,21,2.676415,0.637196,0.820612,0.868114,285.16
efficientformerv2_s0,clahe_s44,44,22,2.648693,0.640858,0.822616,0.870829,283.60
efficientformerv2_s0,clahe_s44,44,23,2.622959,0.640751,0.824231,0.871001,286.50
efficientformerv2_s0,clahe_s44,44,24,2.593194,0.645835,0.828001,0.872315,280.29
efficientformerv2_s0,clahe_s44,44,25,2.568457,0.645231,0.827937,0.873823,282.63
efficientformerv2_s0,clahe_s44,44,26,2.542266,0.648700,0.828152,0.873974,280.11
efficientformerv2_s0,clahe_s44,44,27,2.526853,0.653999,0.831987,0.875504,277.40
efficientformerv2_s0,clahe_s44,44,28,2.503024,0.651522,0.830328,0.874082,279.44
efficientformerv2_s0,clahe_s44,44,29,2.480256,0.655464,0.832504,0.876495,284.49
efficientformerv2_s0,clahe_s44,44,30,2.465590,0.658847,0.832892,0.876495,282.93
efficientformerv2_s0,clahe_s44,44,31,2.444790,0.658416,0.834895,0.879058,279.88
efficientformerv2_s0,clahe_s44,44,32,2.429908,0.662164,0.835305,0.879274,281.55
efficientformerv2_s0,clahe_s44,44,33,2.412022,0.664103,0.835778,0.880200,278.88
efficientformerv2_s0,clahe_s44,44,34,2.393943,0.662164,0.836489,0.879704,280.33
efficientformerv2_s0,clahe_s44,44,35,2.383806,0.664405,0.836920,0.880221,277.50
efficientformerv2_s0,clahe_s44,44,36,2.367350,0.665546,0.838557,0.880997,281.68
efficientformerv2_s0,clahe_s44,44,37,2.352683,0.667464,0.838342,0.880114,281.55
efficientformerv2_s0,clahe_s44,44,38,2.336329,0.668541,0.839915,0.881492,279.80
efficientformerv2_s0,clahe_s44,44,39,2.321391,0.671018,0.840906,0.882419,282.26
efficientformerv2_s0,clahe_s44,44,40,2.311534,0.670070,0.839656,0.881880,281.96
efficientformerv2_s0,clahe_s44,44,41,2.305758,0.671320,0.839592,0.881880,279.63
