model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
efficientformerv2_s0,clahe_sobel_s42,42,1,7.822974,0.017945,0.060686,0.095780,286.15
efficientformerv2_s0,clahe_sobel_s42,42,2,6.619609,0.155303,0.330662,0.421034,289.28
efficientformerv2_s0,clahe_sobel_s42,42,3,5.293242,0.309593,0.528146,0.617333,287.81
efficientformerv2_s0,clahe_sobel_s42,42,4,4.514312,0.396152,0.619660,0.701545,289.82
efficientformerv2_s0,clahe_sobel_s42,42,5,4.068440,0.450699,0.675348,0.750059,287.87
efficientformerv2_s0,clahe_sobel_s42,42,6,3.783161,0.490273,0.708180,0.776320,283.26
efficientformerv2_s0,clahe_sobel_s42,42,7,3.585714,0.514251,0.730067,0.796075,282.76
efficientformerv2_s0,clahe_sobel_s42,42,8,3.429268,0.535987,0.747970,0.811176,290.97
efficientformerv2_s0,clahe_sobel_s42,42,9,3.311403,0.554988,0.759581,0.821366,289.56
efficientformerv2_s0,clahe_sobel_s42,42,10,3.210930,0.565781,0.768651,0.828174,283.23
efficientformerv2_s0,clahe_sobel_s42,42,11,3.127836,0.580775,0.780349,0.838213,286.65
efficientformerv2_s0,clahe_sobel_s42,42,12,3.053282,0.588466,0.787953,0.844417,285.93
efficientformerv2_s0,clahe_sobel_s42,42,13,2.989127,0.593615,0.791551,0.848812,282.97
efficientformerv2_s0,clahe_sobel_s42,42,14,2.933133,0.601995,0.799371,0.852259,281.72
efficientformerv2_s0,clahe_sobel_s42,42,15,2.877857,0.606282,0.801331,0.855361,287.62
efficientformerv2_s0,clahe_sobel_s42,42,16,2.829770,0.614856,0.807256,0.859626,290.18
efficientformerv2_s0,clahe_sobel_s42,42,17,2.787332,0.618411,0.810595,0.861824,294.12
efficientformerv2_s0,clahe_sobel_s42,42,18,2.749485,0.619100,0.811457,0.863892,282.12
efficientformerv2_s0,clahe_sobel_s42,42,19,2.709113,0.626511,0.813826,0.865314,287.09
efficientformerv2_s0,clahe_sobel_s42,42,20,2.679299,0.629699,0.818286,0.867856,289.76
efficientformerv2_s0,clahe_sobel_s42,42,21,2.647774,0.631703,0.819298,0.867727,292.07
efficientformerv2_s0,clahe_sobel_s42,42,22,2.628216,0.638726,0.822810,0.871044,285.25
efficientformerv2_s0,clahe_sobel_s42,42,23,2.593428,0.637476,0.822573,0.871561,291.07
efficientformerv2_s0,clahe_sobel_s42,42,24,2.568661,0.642000,0.825373,0.873522,286.63
efficientformerv2_s0,clahe_sobel_s42,42,25,2.539344,0.643163,0.824856,0.873112,286.49
efficientformerv2_s0,clahe_sobel_s42,42,26,2.520223,0.644413,0.827571,0.874297,289.20
efficientformerv2_s0,clahe_sobel_s42,42,27,2.494388,0.648054,0.829122,0.875934,289.26
efficientformerv2_s0,clahe_sobel_s42,42,28,2.475851,0.651500,0.830888,0.876925,287.81
efficientformerv2_s0,clahe_sobel_s42,42,29,2.457317,0.650402,0.831599,0.877550,288.39
efficientformerv2_s0,clahe_sobel_s42,42,30,2.439914,0.655788,0.832633,0.877873,284.84
efficientformerv2_s0,clahe_sobel_s42,42,31,2.417057,0.655033,0.833560,0.879812,286.23
efficientformerv2_s0,clahe_sobel_s42,42,32,2.405554,0.656197,0.833753,0.878412,289.29
efficientformerv2_s0,clahe_sobel_s42,42,33,2.387772,0.659105,0.835283,0.880695,285.50
efficientformerv2_s0,clahe_sobel_s42,42,34,2.369386,0.658653,0.836791,0.880480,285.82
efficientformerv2_s0,clahe_sobel_s42,42,35,2.356603,0.659902,0.836425,0.880674,290.56
efficientformerv2_s0,clahe_sobel_s42,42,36,2.340316,0.661906,0.837093,0.882397,287.22
efficientformerv2_s0,clahe_sobel_s42,42,37,2.325615,0.665353,0.838536,0.882699,290.13
efficientformerv2_s0,clahe_sobel_s42,42,38,2.314877,0.663500,0.837976,0.881665,291.05
efficientformerv2_s0,clahe_sobel_s42,42,39,2.298512,0.665977,0.839139,0.882570,287.01
efficientformerv2_s0,clahe_sobel_s42,42,40,2.283891,0.666839,0.841164,0.883302,289.02
efficientformerv2_s0,clahe_sobel_s42,42,41,2.277774,0.670006,0.839268,0.883000,288.33
efficientformerv2_s0,clahe_sobel_s42,42,42,2.264082,0.670006,0.841810,0.884272,286.20
efficientformerv2_s0,clahe_sobel_s42,42,43,2.254201,0.668002,0.840884,0.883927,287.36
efficientformerv2_s0,clahe_sobel_s42,42,44,2.244154,0.671815,0.842198,0.885004,285.13
efficientformerv2_s0,clahe_sobel_s42,42,45,2.235510,0.671686,0.841337,0.884961,289.05
efficientformerv2_s0,clahe_sobel_s42,42,46,2.224706,0.670415,0.842134,0.884659,286.07
efficientformerv2_s0,clahe_sobel_s42,42,47,2.215419,0.672548,0.842198,0.883259,289.06
efficientformerv2_s0,clahe_sobel_s42,42,48,2.206878,0.673474,0.842801,0.883991,292.50
efficientformerv2_s0,clahe_sobel_s42,42,49,2.195190,0.673647,0.842327,0.884078,292.04
efficientformerv2_s0,clahe_sobel_s42,42,50,2.187186,0.673043,0.843728,0.884875,286.35
