model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
efficientformerv2_s0,sobel_s44,44,1,7.866668,0.005407,0.023223,0.041233,281.04
efficientformerv2_s0,sobel_s44,44,2,7.115436,0.050777,0.142980,0.208169,278.96
efficientformerv2_s0,sobel_s44,44,3,6.231794,0.084534,0.203667,0.280639,279.01
efficientformerv2_s0,sobel_s44,44,4,5.634599,0.113639,0.257201,0.337233,276.63
efficientformerv2_s0,sobel_s44,44,5,5.242611,0.223960,0.422478,0.514574,275.46
efficientformerv2_s0,sobel_s44,44,6,4.971320,0.256102,0.464077,0.557724,275.97
efficientformerv2_s0,sobel_s44,44,7,4.760337,0.269135,0.479373,0.571318,275.13
efficientformerv2_s0,sobel_s44,44,8,4.597238,0.291303,0.506064,0.595769,277.40
efficientformerv2_s0,sobel_s44,44,9,4.465777,0.330834,0.550464,0.635860,282.66
efficientformerv2_s0,sobel_s44,44,10,4.356562,0.323208,0.542127,0.627976,277.48
efficientformerv2_s0,sobel_s44,44,11,4.251185,0.339193,0.560115,0.644585,278.40
efficientformerv2_s0,sobel_s44,44,12,4.170108,0.362804,0.582800,0.666925,277.79
efficientformerv2_s0,sobel_s44,44,13,4.096501,0.345893,0.567074,0.653525,275.99
efficientformerv2_s0,sobel_s44,44,14,4.026317,0.346065,0.562851,0.646459,278.50
efficientformerv2_s0,sobel_s44,44,15,3.968301,0.376010,0.596523,0.678515,278.65
efficientformerv2_s0,sobel_s44,44,16,3.916070,0.379349,0.602878,0.682953,277.10
efficientformerv2_s0,sobel_s44,44,17,3.856137,0.387212,0.607962,0.689588,276.65
efficientformerv2_s0,sobel_s44,44,18,3.809395,0.395248,0.614791,0.694845,275.80
efficientformerv2_s0,sobel_s44,44,19,3.764938,0.379241,0.599280,0.680691,279.27
efficientformerv2_s0,sobel_s44,44,20,3.724163,0.400526,0.622116,0.698766,281.30
efficientformerv2_s0,sobel_s44,44,21,3.684650,0.400375,0.621340,0.699757,277.24
efficientformerv2_s0,sobel_s44,44,22,3.643518,0.373597,0.594864,0.672591,278.54
efficientformerv2_s0,sobel_s44,44,23,3.612336,0.416941,0.637648,0.714557,278.53
efficientformerv2_s0,sobel_s44,44,24,3.579274,0.420453,0.638682,0.715203,277.30
efficientformerv2_s0,sobel_s44,44,25,3.542869,0.399427,0.622784,0.699864,278.26
efficientformerv2_s0,sobel_s44,44,26,3.515283,0.285271,0.494517,0.581486,278.74
efficientformerv2_s0,sobel_s44,44,27,3.489337,0.417351,0.638489,0.713738,275.34
efficientformerv2_s0,sobel_s44,44,28,3.461116,0.434908,0.650983,0.723044,275.74
efficientformerv2_s0,sobel_s44,44,29,3.432902,0.403563,0.622418,0.700575,279.78
efficientformerv2_s0,sobel_s44,44,30,3.408807,0.435856,0.653396,0.726685,280.35
efficientformerv2_s0,sobel_s44,44,31,3.385939,0.423016,0.640815,0.715311,276.89
efficientformerv2_s0,sobel_s44,44,32,3.370095,0.441263,0.656498,0.727375,278.78
efficientformerv2_s0,sobel_s44,44,33,3.345224,0.448588,0.662487,0.733837,275.15
efficientformerv2_s0,sobel_s44,44,34,3.324869,0.447963,0.663586,0.735906,274.76
efficientformerv2_s0,sobel_s44,44,35,3.305284,0.448782,0.665525,0.736272,278.14
efficientformerv2_s0,sobel_s44,44,36,3.280729,0.430858,0.646416,0.720998,280.54
efficientformerv2_s0,sobel_s44,44,37,3.265135,0.453952,0.667593,0.737694,279.69
efficientformerv2_s0,sobel_s44,44,38,3.242331,0.443224,0.658782,0.729766,282.54
efficientformerv2_s0,sobel_s44,44,39,3.221598,0.449708,0.665309,0.735432,282.04
efficientformerv2_s0,sobel_s44,44,40,3.207555,0.458218,0.673259,0.740430,280.32
efficientformerv2_s0,sobel_s44,44,41,3.191106,0.456968,0.668412,0.739137,279.98
efficientformerv2_s0,sobel_s44,44,42,3.174117,0.454189,0.667442,0.737543,278.28
efficientformerv2_s0,sobel_s44,44,43,3.161663,0.438613,0.653482,0.726965,278.03
efficientformerv2_s0,sobel_s44,44,44,3.149396,0.458735,0.671751,0.740710,278.54
efficientformerv2_s0,sobel_s44,44,45,3.133032,0.463388,0.674982,0.743273,276.37
efficientformerv2_s0,sobel_s44,44,46,3.119471,0.462612,0.676124,0.743726,279.96
efficientformerv2_s0,sobel_s44,44,47,3.108540,0.451927,0.665266,0.734850,276.93
efficientformerv2_s0,sobel_s44,44,48,3.097474,0.463754,0.675822,0.744480,274.68
efficientformerv2_s0,sobel_s44,44,49,3.085737,0.462655,0.675068,0.744760,274.72
efficientformerv2_s0,sobel_s44,44,50,3.073645,0.464443,0.677180,0.743984,277.65
efficientformerv2_s0,sobel_s44,44,51,3.064647,0.471337,0.682113,0.749176,274.49
efficientformerv2_s0,sobel_s44,44,52,3.048361,0.469097,0.679980,0.746806,276.18
efficientformerv2_s0,sobel_s44,44,53,3.038139,0.472393,0.681380,0.749758,278.68
efficientformerv2_s0,sobel_s44,44,54,3.031408,0.474030,0.685194,0.751266,280.65
efficientformerv2_s0,sobel_s44,44,55,3.022795,0.475430,0.684784,0.753032,279.78
efficientformerv2_s0,sobel_s44,44,56,3.019101,0.471790,0.682544,0.749822,276.31
efficientformerv2_s0,sobel_s44,44,57,3.010043,0.474590,0.683384,0.749930,280.42
efficientformerv2_s0,sobel_s44,44,58,2.996698,0.474526,0.683642,0.750038,278.45
efficientformerv2_s0,sobel_s44,44,59,2.995973,0.475495,0.683729,0.750576,279.92
efficientformerv2_s0,sobel_s44,44,60,2.993725,0.473298,0.681639,0.748508,281.56
efficientformerv2_s0,sobel_s44,44,61,2.980759,0.473685,0.683556,0.748508,279.58
efficientformerv2_s0,sobel_s44,44,62,2.973186,0.475624,0.684698,0.751179,280.53
efficientformerv2_s0,sobel_s44,44,63,2.971199,0.475969,0.684590,0.751481,280.92
efficientformerv2_s0,sobel_s44,44,64,2.962007,0.476831,0.687930,0.752451,279.89
efficientformerv2_s0,sobel_s44,44,65,2.954501,0.478446,0.688080,0.753075,275.59
efficientformerv2_s0,sobel_s44,44,66,2.953799,0.478403,0.687714,0.753571,276.34
efficientformerv2_s0,sobel_s44,44,67,2.945936,0.479286,0.687305,0.753226,277.56
efficientformerv2_s0,sobel_s44,44,68,2.943510,0.479179,0.686874,0.753248,280.47
