model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilenetv2_100,baseline_s42,42,1,7.658327,0.049312,0.134579,0.192852,446.59
mobilenetv2_100,baseline_s42,42,2,6.145639,0.214417,0.415800,0.512635,448.24
mobilenetv2_100,baseline_s42,42,3,4.991036,0.346087,0.570628,0.657317,389.47
mobilenetv2_100,baseline_s42,42,4,4.401155,0.417028,0.641311,0.721946,382.22
mobilenetv2_100,baseline_s42,42,5,4.048424,0.463129,0.681380,0.756824,380.30
mobilenetv2_100,baseline_s42,42,6,3.802548,0.493871,0.712467,0.783429,411.87
mobilenetv2_100,baseline_s42,42,7,3.614069,0.519421,0.732028,0.798423,372.63
mobilenetv2_100,baseline_s42,42,8,3.464530,0.536612,0.746311,0.812038,435.91
mobilenetv2_100,baseline_s42,42,9,3.339036,0.553588,0.761606,0.822831,382.20
mobilenetv2_100,baseline_s42,42,10,3.237077,0.567052,0.771774,0.832525,379.98
mobilenetv2_100,baseline_s42,42,11,3.146938,0.579806,0.781318,0.837696,382.17
mobilenetv2_100,baseline_s42,42,12,3.065245,0.588918,0.787522,0.842758,378.39
mobilenetv2_100,baseline_s42,42,13,2.983806,0.595209,0.791939,0.846787,377.28
mobilenetv2_100,baseline_s42,42,14,2.919901,0.602232,0.796613,0.851742,378.66
mobilenetv2_100,baseline_s42,42,15,2.859683,0.609147,0.803119,0.855447,383.04
mobilenetv2_100,baseline_s42,42,16,2.812315,0.616256,0.808484,0.859002,377.42
mobilenetv2_100,baseline_s42,42,17,2.760213,0.623085,0.811090,0.861307,395.58
mobilenetv2_100,baseline_s42,42,18,2.713341,0.625110,0.812577,0.862858,383.41
mobilenetv2_100,baseline_s42,42,19,2.672216,0.629139,0.817596,0.865034,373.28
mobilenetv2_100,baseline_s42,42,20,2.630323,0.634999,0.819255,0.867231,372.72
mobilenetv2_100,baseline_s42,42,21,2.593733,0.634568,0.819557,0.868481,399.54
mobilenetv2_100,baseline_s42,42,22,2.557312,0.639135,0.821388,0.869321,394.98
mobilenetv2_100,baseline_s42,42,23,2.528147,0.639544,0.824468,0.871303,396.07
mobilenetv2_100,baseline_s42,42,24,2.489581,0.643874,0.824727,0.870613,404.83
mobilenetv2_100,baseline_s42,42,25,2.464374,0.646503,0.825847,0.873091,376.26
mobilenetv2_100,baseline_s42,42,26,2.432934,0.649971,0.827958,0.873823,380.82
mobilenetv2_100,baseline_s42,42,27,2.409457,0.649885,0.828260,0.875439,376.29
mobilenetv2_100,baseline_s42,42,28,2.382982,0.653849,0.828755,0.874491,373.89
mobilenetv2_100,baseline_s42,42,29,2.362973,0.654430,0.830285,0.875288,388.71
mobilenetv2_100,baseline_s42,42,30,2.337625,0.656585,0.830177,0.876021,395.98
mobilenetv2_100,baseline_s42,42,31,2.315390,0.657425,0.832245,0.876624,440.18
mobilenetv2_100,baseline_s42,42,32,2.298981,0.659838,0.832569,0.877313,471.00
mobilenetv2_100,baseline_s42,42,33,2.278291,0.660182,0.832095,0.876214,461.67
mobilenetv2_100,baseline_s42,42,34,2.263166,0.661539,0.834033,0.877830,444.41
mobilenetv2_100,baseline_s42,42,35,2.242825,0.663177,0.834486,0.877744,481.10
mobilenetv2_100,baseline_s42,42,36,2.225578,0.664146,0.833667,0.878627,461.96
mobilenetv2_100,baseline_s42,42,37,2.210173,0.663694,0.835541,0.880394,423.80
mobilenetv2_100,baseline_s42,42,38,2.191002,0.664836,0.834658,0.879812,452.22
mobilenetv2_100,baseline_s42,42,39,2.180462,0.666322,0.835692,0.878563,443.74
mobilenetv2_100,baseline_s42,42,40,2.168800,0.668196,0.835175,0.878024,439.03
mobilenetv2_100,baseline_s42,42,41,2.153693,0.668412,0.836511,0.879575,444.20
mobilenetv2_100,baseline_s42,42,42,2.138958,0.670351,0.837739,0.880135,442.41
mobilenetv2_100,baseline_s42,42,43,2.126278,0.671277,0.837093,0.880221,447.21
mobilenetv2_100,baseline_s42,42,44,2.115075,0.673216,0.839247,0.879898,465.36
mobilenetv2_100,baseline_s42,42,45,2.106764,0.672225,0.838967,0.881105,459.67
mobilenetv2_100,baseline_s42,42,46,2.090014,0.674638,0.839290,0.882203,466.43
mobilenetv2_100,baseline_s42,42,47,2.084760,0.673776,0.839355,0.880954,455.57
mobilenetv2_100,baseline_s42,42,48,2.073780,0.676102,0.840087,0.882139,464.90
mobilenetv2_100,baseline_s42,42,49,2.062962,0.675327,0.839376,0.882462,455.41
mobilenetv2_100,baseline_s42,42,50,2.055883,0.673905,0.839031,0.881686,447.36
mobilenetv2_100,baseline_s42,42,51,2.048408,0.676189,0.839893,0.882290,445.68
mobilenetv2_100,baseline_s42,42,52,2.035844,0.676512,0.840669,0.882591,444.44
mobilenetv2_100,baseline_s42,42,53,2.030551,0.679312,0.841854,0.882505,445.70
mobilenetv2_100,baseline_s42,42,54,2.023944,0.677847,0.840927,0.882505,444.53
mobilenetv2_100,baseline_s42,42,55,2.020018,0.676986,0.839785,0.881923,439.16
mobilenetv2_100,baseline_s42,42,56,2.011062,0.679786,0.840992,0.883237,426.92
mobilenetv2_100,baseline_s42,42,57,2.009125,0.679635,0.841660,0.883194,421.09
mobilenetv2_100,baseline_s42,42,58,2.000518,0.679722,0.841746,0.883216,441.58
mobilenetv2_100,baseline_s42,42,59,1.993212,0.680109,0.841875,0.883625,442.93
mobilenetv2_100,baseline_s42,42,60,1.992564,0.680562,0.841854,0.882914,424.24
mobilenetv2_100,baseline_s42,42,61,1.988555,0.680993,0.842866,0.884207,443.49
mobilenetv2_100,baseline_s42,42,62,1.981033,0.680713,0.842112,0.884465,423.10
mobilenetv2_100,baseline_s42,42,63,1.978232,0.681337,0.842543,0.885263,424.42
mobilenetv2_100,baseline_s42,42,64,1.970906,0.682393,0.842888,0.884530,426.13
mobilenetv2_100,baseline_s42,42,65,1.970274,0.682652,0.842004,0.884099,425.16
mobilenetv2_100,baseline_s42,42,66,1.967836,0.680993,0.841897,0.883518,421.96
mobilenetv2_100,baseline_s42,42,67,1.964766,0.682824,0.842737,0.884508,422.53
mobilenetv2_100,baseline_s42,42,68,1.960795,0.683255,0.842478,0.883970,420.65
mobilenetv2_100,baseline_s42,42,69,1.960785,0.682759,0.842629,0.884293,425.12
mobilenetv2_100,baseline_s42,42,70,1.955714,0.683966,0.842801,0.885155,422.93
mobilenetv2_100,baseline_s42,42,71,1.954562,0.682565,0.842758,0.884142,418.04
mobilenetv2_100,baseline_s42,42,72,1.956335,0.682178,0.843448,0.884207,423.31
mobilenetv2_100,baseline_s42,42,73,1.954020,0.683319,0.842715,0.884207,426.35
mobilenetv2_100,baseline_s42,42,74,1.955683,0.683449,0.843340,0.884745,450.96
mobilenetv2_100,baseline_s42,42,75,1.955769,0.684892,0.843426,0.884724,454.60
mobilenetv2_100,baseline_s42,42,76,1.949104,0.683686,0.843792,0.884228,431.84
mobilenetv2_100,baseline_s42,42,77,1.949381,0.685021,0.844137,0.885844,432.02
mobilenetv2_100,baseline_s42,42,78,1.951278,0.683686,0.842672,0.884595,446.11
mobilenetv2_100,baseline_s42,42,79,1.947626,0.683686,0.843340,0.885392,445.80
mobilenetv2_100,baseline_s42,42,80,1.952480,0.683729,0.841789,0.884616,443.68
