model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilenetv2_100,clahe_s43,43,1,7.669628,0.047761,0.128956,0.189771,195.58
mobilenetv2_100,clahe_s43,43,2,6.180799,0.215429,0.410802,0.505267,189.81
mobilenetv2_100,clahe_s43,43,3,5.035924,0.337426,0.558995,0.647515,190.95
mobilenetv2_100,clahe_s43,43,4,4.449709,0.408970,0.631832,0.712661,188.37
mobilenetv2_100,clahe_s43,43,5,4.096852,0.451195,0.671815,0.746720,190.26
mobilenetv2_100,clahe_s43,43,6,3.852118,0.485211,0.703203,0.774144,193.09
mobilenetv2_100,clahe_s43,43,7,3.662858,0.512549,0.722915,0.790409,193.04
mobilenetv2_100,clahe_s43,43,8,3.514971,0.529201,0.739525,0.804412,192.34
mobilenetv2_100,clahe_s43,43,9,3.384548,0.546242,0.753334,0.814580,190.76
mobilenetv2_100,clahe_s43,43,10,3.282665,0.561343,0.763674,0.823564,190.04
mobilenetv2_100,clahe_s43,43,11,3.188981,0.570047,0.773455,0.829466,192.95
mobilenetv2_100,clahe_s43,43,12,3.106334,0.581745,0.779961,0.836877,195.43
mobilenetv2_100,clahe_s43,43,13,3.037867,0.589522,0.785993,0.842758,187.58
mobilenetv2_100,clahe_s43,43,14,2.969383,0.597277,0.790366,0.845774,199.22
mobilenetv2_100,clahe_s43,43,15,2.912050,0.601370,0.794890,0.849587,194.42
mobilenetv2_100,clahe_s43,43,16,2.857391,0.606088,0.800039,0.851828,191.33
mobilenetv2_100,clahe_s43,43,17,2.802220,0.612766,0.803335,0.855189,190.99
mobilenetv2_100,clahe_s43,43,18,2.757381,0.618023,0.805963,0.857278,193.08
mobilenetv2_100,clahe_s43,43,19,2.713055,0.621082,0.808333,0.861005,192.10
mobilenetv2_100,clahe_s43,43,20,2.670783,0.623624,0.810875,0.862578,189.72
mobilenetv2_100,clahe_s43,43,21,2.640312,0.630755,0.813374,0.863612,190.70
mobilenetv2_100,clahe_s43,43,22,2.600523,0.633189,0.814817,0.865055,191.98
mobilenetv2_100,clahe_s43,43,23,2.563879,0.634115,0.815356,0.864991,191.45
mobilenetv2_100,clahe_s43,43,24,2.532419,0.637907,0.818824,0.867188,190.73
mobilenetv2_100,clahe_s43,43,25,2.500285,0.639070,0.820397,0.867705,190.14
mobilenetv2_100,clahe_s43,43,26,2.473226,0.642431,0.820526,0.867554,192.49
mobilenetv2_100,clahe_s43,43,27,2.447242,0.644025,0.822960,0.870247,190.45
mobilenetv2_100,clahe_s43,43,28,2.422726,0.645727,0.824188,0.869924,190.88
mobilenetv2_100,clahe_s43,43,29,2.400682,0.645404,0.821840,0.869601,193.25
mobilenetv2_100,clahe_s43,43,30,2.378678,0.647278,0.824705,0.870333,192.68
mobilenetv2_100,clahe_s43,43,31,2.354509,0.648851,0.825266,0.871626,192.47
mobilenetv2_100,clahe_s43,43,32,2.329907,0.651824,0.827118,0.871583,194.86
mobilenetv2_100,clahe_s43,43,33,2.312516,0.652965,0.828131,0.872466,192.09
mobilenetv2_100,clahe_s43,43,34,2.295104,0.653375,0.827463,0.873737,192.06
mobilenetv2_100,clahe_s43,43,35,2.275950,0.654840,0.827571,0.872811,192.51
mobilenetv2_100,clahe_s43,43,36,2.261907,0.656068,0.827140,0.871734,195.54
mobilenetv2_100,clahe_s43,43,37,2.244587,0.656369,0.830371,0.873586,194.01
mobilenetv2_100,clahe_s43,43,38,2.229030,0.658631,0.829143,0.873780,192.33
mobilenetv2_100,clahe_s43,43,39,2.214106,0.658351,0.828777,0.872294,191.92
mobilenetv2_100,clahe_s43,43,40,2.197761,0.659148,0.830091,0.874233,192.68
mobilenetv2_100,clahe_s43,43,41,2.189941,0.662746,0.830845,0.873996,189.48
mobilenetv2_100,clahe_s43,43,42,2.173281,0.661367,0.831298,0.874254,190.04
mobilenetv2_100,clahe_s43,43,43,2.157894,0.663241,0.832461,0.875310,191.45
mobilenetv2_100,clahe_s43,43,44,2.146755,0.666796,0.832525,0.875697,189.21
mobilenetv2_100,clahe_s43,43,45,2.139534,0.666042,0.831728,0.875094,190.55
mobilenetv2_100,clahe_s43,43,46,2.127940,0.662746,0.831922,0.874793,190.59
mobilenetv2_100,clahe_s43,43,47,2.120608,0.667765,0.833452,0.876624,190.24
mobilenetv2_100,clahe_s43,43,48,2.105285,0.667141,0.833064,0.875590,188.23
mobilenetv2_100,clahe_s43,43,49,2.098731,0.666796,0.834098,0.877141,188.36
mobilenetv2_100,clahe_s43,43,50,2.087726,0.667658,0.833387,0.876925,188.90
mobilenetv2_100,clahe_s43,43,51,2.079302,0.669015,0.834314,0.878972,190.18
