model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilenetv2_100,clahe_sobel_s43,43,1,7.671088,0.047179,0.125940,0.186195,199.43
mobilenetv2_100,clahe_sobel_s43,43,2,6.178088,0.213533,0.412870,0.504729,195.47
mobilenetv2_100,clahe_sobel_s43,43,3,5.026900,0.338439,0.559469,0.646610,198.29
mobilenetv2_100,clahe_sobel_s43,43,4,4.436074,0.407872,0.630302,0.710959,195.40
mobilenetv2_100,clahe_sobel_s43,43,5,4.080313,0.451625,0.673862,0.749025,194.82
mobilenetv2_100,clahe_sobel_s43,43,6,3.835251,0.487473,0.702665,0.773218,195.22
mobilenetv2_100,clahe_sobel_s43,43,7,3.644911,0.512893,0.723885,0.790194,193.35
mobilenetv2_100,clahe_sobel_s43,43,8,3.494964,0.529675,0.740494,0.805942,195.01
mobilenetv2_100,clahe_sobel_s43,43,9,3.364317,0.546242,0.752235,0.814386,194.61
mobilenetv2_100,clahe_sobel_s43,43,10,3.262792,0.560632,0.763998,0.823628,195.55
mobilenetv2_100,clahe_sobel_s43,43,11,3.168058,0.570111,0.772722,0.830328,196.35
mobilenetv2_100,clahe_sobel_s43,43,12,3.082678,0.581658,0.778948,0.837200,194.42
mobilenetv2_100,clahe_sobel_s43,43,13,3.014466,0.589909,0.786337,0.842435,192.12
mobilenetv2_100,clahe_sobel_s43,43,14,2.946895,0.596114,0.789440,0.844309,197.02
mobilenetv2_100,clahe_sobel_s43,43,15,2.886985,0.601650,0.793533,0.849178,196.21
mobilenetv2_100,clahe_sobel_s43,43,16,2.833055,0.606562,0.798337,0.851182,198.40
mobilenetv2_100,clahe_sobel_s43,43,17,2.777900,0.613693,0.802193,0.854392,196.78
mobilenetv2_100,clahe_sobel_s43,43,18,2.733060,0.619919,0.805748,0.856632,195.35
mobilenetv2_100,clahe_sobel_s43,43,19,2.688872,0.620759,0.808139,0.859907,194.22
mobilenetv2_100,clahe_sobel_s43,43,20,2.646368,0.623452,0.810078,0.861178,205.13
mobilenetv2_100,clahe_sobel_s43,43,21,2.613781,0.627674,0.811887,0.862535,188.01
mobilenetv2_100,clahe_sobel_s43,43,22,2.575207,0.631379,0.815334,0.864646,188.33
