model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilenetv2_100,sobel_s43,43,1,7.767786,0.016179,0.053254,0.085439,182.34
mobilenetv2_100,sobel_s43,43,2,6.833977,0.081023,0.203602,0.281415,184.60
mobilenetv2_100,sobel_s43,43,3,6.026341,0.153967,0.324695,0.412396,185.02
mobilenetv2_100,sobel_s43,43,4,5.551172,0.202396,0.393115,0.483961,186.77
mobilenetv2_100,sobel_s43,43,5,5.239687,0.237209,0.437149,0.528060,186.27
mobilenetv2_100,sobel_s43,43,6,5.006875,0.266249,0.473319,0.564984,187.59
mobilenetv2_100,sobel_s43,43,7,4.814610,0.289709,0.496478,0.588229,187.53
mobilenetv2_100,sobel_s43,43,8,4.663530,0.306297,0.516965,0.605786,186.65
mobilenetv2_100,sobel_s43,43,9,4.523882,0.321700,0.534070,0.621211,187.75
mobilenetv2_100,sobel_s43,43,10,4.415753,0.336651,0.551111,0.637045,185.82
mobilenetv2_100,sobel_s43,43,11,4.311305,0.348543,0.561882,0.647020,186.02
mobilenetv2_100,sobel_s43,43,12,4.220736,0.359056,0.575325,0.656929,187.39
mobilenetv2_100,sobel_s43,43,13,4.138059,0.367048,0.582736,0.663780,185.38
mobilenetv2_100,sobel_s43,43,14,4.057337,0.374351,0.589565,0.670458,186.25
mobilenetv2_100,sobel_s43,43,15,3.989698,0.378853,0.597342,0.676835,183.57
mobilenetv2_100,sobel_s43,43,16,3.923646,0.388095,0.605162,0.683944,185.07
mobilenetv2_100,sobel_s43,43,17,3.860325,0.393072,0.607984,0.687714,186.01
mobilenetv2_100,sobel_s43,43,18,3.808075,0.398371,0.614985,0.691958,188.10
mobilenetv2_100,sobel_s43,43,19,3.753219,0.402594,0.618367,0.694479,188.07
mobilenetv2_100,sobel_s43,43,20,3.703279,0.404770,0.622073,0.698270,184.34
mobilenetv2_100,sobel_s43,43,21,3.659503,0.410651,0.628493,0.703527,186.71
mobilenetv2_100,sobel_s43,43,22,3.607563,0.414399,0.630001,0.704711,187.51
mobilenetv2_100,sobel_s43,43,23,3.565474,0.419182,0.633167,0.708955,189.47
mobilenetv2_100,sobel_s43,43,24,3.526455,0.422176,0.637088,0.710571,188.88
mobilenetv2_100,sobel_s43,43,25,3.490932,0.421681,0.635688,0.710334,186.69
mobilenetv2_100,sobel_s43,43,26,3.454047,0.425020,0.641979,0.716215,188.16
mobilenetv2_100,sobel_s43,43,27,3.417280,0.430600,0.643465,0.717142,186.90
mobilenetv2_100,sobel_s43,43,28,3.385461,0.432883,0.645361,0.717443,188.41
mobilenetv2_100,sobel_s43,43,29,3.350722,0.433142,0.646158,0.719339,185.33
mobilenetv2_100,sobel_s43,43,30,3.325434,0.436373,0.648808,0.720524,187.89
mobilenetv2_100,sobel_s43,43,31,3.292266,0.438032,0.650596,0.721580,189.12
mobilenetv2_100,sobel_s43,43,32,3.257813,0.439518,0.651242,0.723475,187.06
mobilenetv2_100,sobel_s43,43,33,3.237680,0.441996,0.653138,0.722183,187.17
mobilenetv2_100,sobel_s43,43,34,3.212910,0.443805,0.654775,0.724359,187.96
mobilenetv2_100,sobel_s43,43,35,3.183179,0.443482,0.655486,0.726944,186.98
mobilenetv2_100,sobel_s43,43,36,3.164299,0.446240,0.657145,0.726276,187.61
mobilenetv2_100,sobel_s43,43,37,3.137844,0.448028,0.657662,0.728603,186.48
mobilenetv2_100,sobel_s43,43,38,3.117378,0.447209,0.656843,0.727698,188.26
mobilenetv2_100,sobel_s43,43,39,3.099838,0.451819,0.660268,0.728322,187.87
mobilenetv2_100,sobel_s43,43,40,3.073349,0.451324,0.659062,0.728624,185.20
mobilenetv2_100,sobel_s43,43,41,3.056719,0.454017,0.661496,0.730865,186.99
mobilenetv2_100,sobel_s43,43,42,3.035297,0.452746,0.662056,0.731360,187.09
mobilenetv2_100,sobel_s43,43,43,3.017963,0.453866,0.662983,0.731274,187.85
mobilenetv2_100,sobel_s43,43,44,2.997112,0.456947,0.663629,0.732997,187.83
mobilenetv2_100,sobel_s43,43,45,2.988698,0.458024,0.665072,0.733579,188.55
mobilenetv2_100,sobel_s43,43,46,2.967991,0.457722,0.664534,0.732997,188.86
mobilenetv2_100,sobel_s43,43,47,2.958431,0.460824,0.665590,0.735755,188.85
mobilenetv2_100,sobel_s43,43,48,2.938428,0.461040,0.665848,0.735625,187.95
