model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilevit_xxs,baseline_s44,44,1,7.810466,0.010901,0.042224,0.069971,230.98
mobilevit_xxs,baseline_s44,44,2,7.052445,0.049915,0.147353,0.215171,229.11
mobilevit_xxs,baseline_s44,44,3,6.205169,0.125272,0.287490,0.381309,231.02
mobilevit_xxs,baseline_s44,44,4,5.609922,0.191387,0.388936,0.487882,229.73
mobilevit_xxs,baseline_s44,44,5,5.208327,0.237015,0.448976,0.545488,229.43
mobilevit_xxs,baseline_s44,44,6,4.928642,0.285206,0.506775,0.603481,230.40
mobilevit_xxs,baseline_s44,44,7,4.719460,0.318512,0.542860,0.636507,232.66
mobilevit_xxs,baseline_s44,44,8,4.557579,0.341821,0.566729,0.657102,232.48
mobilevit_xxs,baseline_s44,44,9,4.425949,0.362653,0.589952,0.677438,229.68
mobilevit_xxs,baseline_s44,44,10,4.309435,0.378983,0.607165,0.694974,234.14
mobilevit_xxs,baseline_s44,44,11,4.210280,0.398199,0.625520,0.710119,232.34
mobilevit_xxs,baseline_s44,44,12,4.131958,0.405050,0.633103,0.717034,232.11
mobilevit_xxs,baseline_s44,44,13,4.045573,0.420410,0.651371,0.731899,235.66
mobilevit_xxs,baseline_s44,44,14,3.979344,0.428144,0.655572,0.735065,232.01
mobilevit_xxs,baseline_s44,44,15,3.918847,0.439540,0.667830,0.746052,232.67
mobilevit_xxs,baseline_s44,44,16,3.866026,0.443762,0.672699,0.749822,231.49
mobilevit_xxs,baseline_s44,44,17,3.813328,0.452767,0.677912,0.754777,233.71
mobilevit_xxs,baseline_s44,44,18,3.772346,0.465348,0.689028,0.764773,230.39
mobilevit_xxs,baseline_s44,44,19,3.721411,0.473922,0.697430,0.770590,233.39
mobilevit_xxs,baseline_s44,44,20,3.680917,0.476874,0.701695,0.775286,233.60
mobilevit_xxs,baseline_s44,44,21,3.641291,0.487128,0.708826,0.779078,232.17
mobilevit_xxs,baseline_s44,44,22,3.611750,0.487882,0.709688,0.781813,224.97
mobilevit_xxs,baseline_s44,44,23,3.572071,0.492363,0.714040,0.785411,231.11
mobilevit_xxs,baseline_s44,44,24,3.545673,0.497598,0.719554,0.789655,229.10
mobilevit_xxs,baseline_s44,44,25,3.513599,0.503027,0.723432,0.791206,229.34
mobilevit_xxs,baseline_s44,44,26,3.488819,0.505914,0.724552,0.793878,228.10
mobilevit_xxs,baseline_s44,44,27,3.461617,0.513044,0.730412,0.796743,227.38
mobilevit_xxs,baseline_s44,44,28,3.433625,0.516189,0.733708,0.801698,229.46
mobilevit_xxs,baseline_s44,44,29,3.415129,0.518538,0.733450,0.800793,229.39
mobilevit_xxs,baseline_s44,44,30,3.391120,0.520886,0.737995,0.804153,230.45
