model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilevit_xxs,clahe_s44,44,1,7.811701,0.011052,0.039854,0.067666,237.11
mobilevit_xxs,clahe_s44,44,2,7.062490,0.048364,0.141838,0.209095,239.87
mobilevit_xxs,clahe_s44,44,3,6.226387,0.121545,0.280510,0.372089,241.09
mobilevit_xxs,clahe_s44,44,4,5.646809,0.185937,0.380254,0.478296,246.96
mobilevit_xxs,clahe_s44,44,5,5.253762,0.232103,0.443202,0.541502,242.76
mobilevit_xxs,clahe_s44,44,6,4.972822,0.279433,0.499989,0.594756,304.39
mobilevit_xxs,clahe_s44,44,7,4.763696,0.309356,0.534393,0.628040,476.40
mobilevit_xxs,clahe_s44,44,8,4.602249,0.334346,0.558737,0.651263,459.49
mobilevit_xxs,clahe_s44,44,9,4.470520,0.355759,0.581766,0.671643,365.18
mobilevit_xxs,clahe_s44,44,10,4.354885,0.369525,0.598483,0.685797,483.88
mobilevit_xxs,clahe_s44,44,11,4.254785,0.385898,0.615955,0.699433,491.98
mobilevit_xxs,clahe_s44,44,12,4.176743,0.396648,0.625735,0.709063,489.34
mobilevit_xxs,clahe_s44,44,13,4.090725,0.412547,0.641871,0.722635,382.03
mobilevit_xxs,clahe_s44,44,14,4.025215,0.422607,0.651242,0.729744,241.12
mobilevit_xxs,clahe_s44,44,15,3.963611,0.429652,0.658222,0.739568,239.42
mobilevit_xxs,clahe_s44,44,16,3.909735,0.433766,0.661970,0.740408,242.82
mobilevit_xxs,clahe_s44,44,17,3.857136,0.443310,0.670975,0.747668,242.52
mobilevit_xxs,clahe_s44,44,18,3.815217,0.456171,0.679851,0.755230,246.65
mobilevit_xxs,clahe_s44,44,19,3.764379,0.465628,0.690342,0.766173,245.09
mobilevit_xxs,clahe_s44,44,20,3.725921,0.468601,0.693423,0.768608,245.38
mobilevit_xxs,clahe_s44,44,21,3.685460,0.477498,0.700295,0.773950,240.56
mobilevit_xxs,clahe_s44,44,22,3.654030,0.477822,0.703807,0.776772,244.46
mobilevit_xxs,clahe_s44,44,23,3.617937,0.481333,0.706823,0.778431,242.36
mobilevit_xxs,clahe_s44,44,24,3.590066,0.488593,0.712144,0.782567,240.96
mobilevit_xxs,clahe_s44,44,25,3.556950,0.491652,0.714384,0.785196,239.88
mobilevit_xxs,clahe_s44,44,26,3.531944,0.498201,0.716862,0.788578,242.11
mobilevit_xxs,clahe_s44,44,27,3.506898,0.502854,0.722312,0.791594,240.18
mobilevit_xxs,clahe_s44,44,28,3.476732,0.507141,0.727202,0.794588,240.65
mobilevit_xxs,clahe_s44,44,29,3.459078,0.507012,0.726297,0.795364,243.71
mobilevit_xxs,clahe_s44,44,30,3.436670,0.512139,0.730800,0.796333,241.89
mobilevit_xxs,clahe_s44,44,31,3.412129,0.517051,0.733385,0.799953,241.66
mobilevit_xxs,clahe_s44,44,32,3.392226,0.515931,0.733945,0.799220,242.16
mobilevit_xxs,clahe_s44,44,33,3.375867,0.520240,0.739223,0.804024,243.18
mobilevit_xxs,clahe_s44,44,34,3.359156,0.524419,0.741356,0.805877,242.62
mobilevit_xxs,clahe_s44,44,35,3.335075,0.524807,0.741421,0.807730,241.49
mobilevit_xxs,clahe_s44,44,36,3.317706,0.530408,0.742907,0.808311,238.34
mobilevit_xxs,clahe_s44,44,37,3.302586,0.529632,0.742842,0.807406,242.80
mobilevit_xxs,clahe_s44,44,38,3.286059,0.533704,0.748357,0.811327,241.87
mobilevit_xxs,clahe_s44,44,39,3.267425,0.536569,0.750102,0.812017,234.51
mobilevit_xxs,clahe_s44,44,40,3.260035,0.539822,0.753334,0.814580,240.21
mobilevit_xxs,clahe_s44,44,41,3.247967,0.539607,0.752623,0.815140,242.61
mobilevit_xxs,clahe_s44,44,42,3.234154,0.541265,0.753161,0.815787,236.55
mobilevit_xxs,clahe_s44,44,43,3.219766,0.544648,0.757211,0.818932,237.86
mobilevit_xxs,clahe_s44,44,44,3.213427,0.546479,0.758763,0.818695,239.37
mobilevit_xxs,clahe_s44,44,45,3.192087,0.545617,0.757298,0.817898,242.21
mobilevit_xxs,clahe_s44,44,46,3.187944,0.547362,0.759344,0.818716,243.70
mobilevit_xxs,clahe_s44,44,47,3.175306,0.550852,0.761305,0.821625,245.50
