model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilevit_xxs,clahe_sobel_s42,42,1,7.811038,0.011332,0.041707,0.069282,252.21
mobilevit_xxs,clahe_sobel_s42,42,2,7.030643,0.054288,0.150930,0.220599,247.34
mobilevit_xxs,clahe_sobel_s42,42,3,6.182950,0.131304,0.295719,0.388892,251.91
mobilevit_xxs,clahe_sobel_s42,42,4,5.600082,0.189836,0.385273,0.483983,246.90
mobilevit_xxs,clahe_sobel_s42,42,5,5.215284,0.245761,0.458713,0.557897,246.26
mobilevit_xxs,clahe_sobel_s42,42,6,4.940943,0.278334,0.498740,0.592882,245.29
mobilevit_xxs,clahe_sobel_s42,42,7,4.740888,0.309787,0.533251,0.627997,245.35
mobilevit_xxs,clahe_sobel_s42,42,8,4.579189,0.334001,0.560913,0.651587,251.30
mobilevit_xxs,clahe_sobel_s42,42,9,4.443718,0.355630,0.582520,0.671815,249.34
mobilevit_xxs,clahe_sobel_s42,42,10,4.334795,0.373252,0.600401,0.687757,248.58
mobilevit_xxs,clahe_sobel_s42,42,11,4.234530,0.385532,0.614533,0.699800,250.34
mobilevit_xxs,clahe_sobel_s42,42,12,4.147975,0.397079,0.625843,0.708718,248.11
mobilevit_xxs,clahe_sobel_s42,42,13,4.070862,0.409681,0.638445,0.719921,250.57
mobilevit_xxs,clahe_sobel_s42,42,14,4.008054,0.422219,0.649777,0.729163,248.38
mobilevit_xxs,clahe_sobel_s42,42,15,3.937536,0.428768,0.656671,0.735367,248.25
mobilevit_xxs,clahe_sobel_s42,42,16,3.881983,0.442814,0.666171,0.744523,248.25
mobilevit_xxs,clahe_sobel_s42,42,17,3.829104,0.451195,0.676835,0.753571,249.18
mobilevit_xxs,clahe_sobel_s42,42,18,3.783358,0.453112,0.675909,0.752881,247.42
mobilevit_xxs,clahe_sobel_s42,42,19,3.738421,0.456085,0.681380,0.757082,249.12
mobilevit_xxs,clahe_sobel_s42,42,20,3.700639,0.464508,0.686939,0.763200,254.81
mobilevit_xxs,clahe_sobel_s42,42,21,3.656623,0.477024,0.698830,0.771818,250.19
mobilevit_xxs,clahe_sobel_s42,42,22,3.623161,0.477628,0.700381,0.773089,248.53
mobilevit_xxs,clahe_sobel_s42,42,23,3.587595,0.478619,0.701760,0.775760,249.46
mobilevit_xxs,clahe_sobel_s42,42,24,3.560755,0.487279,0.706370,0.779853,246.69
mobilevit_xxs,clahe_sobel_s42,42,25,3.530083,0.496004,0.713975,0.785540,246.19
mobilevit_xxs,clahe_sobel_s42,42,26,3.505510,0.492945,0.712295,0.783343,249.53
mobilevit_xxs,clahe_sobel_s42,42,27,3.479370,0.499601,0.718844,0.789547,248.94
mobilevit_xxs,clahe_sobel_s42,42,28,3.453770,0.500894,0.720438,0.791874,248.21
mobilevit_xxs,clahe_sobel_s42,42,29,3.426615,0.510114,0.726276,0.794718,252.03
mobilevit_xxs,clahe_sobel_s42,42,30,3.408507,0.508865,0.725845,0.793813,253.02
mobilevit_xxs,clahe_sobel_s42,42,31,3.386153,0.510028,0.726341,0.795149,248.67
mobilevit_xxs,clahe_sobel_s42,42,32,3.365501,0.515608,0.731317,0.799371,253.73
mobilevit_xxs,clahe_sobel_s42,42,33,3.343429,0.521037,0.737651,0.803378,248.86
mobilevit_xxs,clahe_sobel_s42,42,34,3.327191,0.524957,0.738857,0.805554,249.01
mobilevit_xxs,clahe_sobel_s42,42,35,3.309941,0.526724,0.739223,0.805942,248.01
mobilevit_xxs,clahe_sobel_s42,42,36,3.296194,0.527004,0.740236,0.806609,248.58
mobilevit_xxs,clahe_sobel_s42,42,37,3.276089,0.528857,0.742282,0.808311,246.83
mobilevit_xxs,clahe_sobel_s42,42,38,3.261254,0.532885,0.744523,0.809453,250.79
mobilevit_xxs,clahe_sobel_s42,42,39,3.244981,0.537388,0.747259,0.811909,250.83
mobilevit_xxs,clahe_sobel_s42,42,40,3.229443,0.536375,0.749348,0.812598,247.53
mobilevit_xxs,clahe_sobel_s42,42,41,3.214602,0.538960,0.750512,0.815076,247.30
mobilevit_xxs,clahe_sobel_s42,42,42,3.209002,0.541632,0.751503,0.815248,252.27
mobilevit_xxs,clahe_sobel_s42,42,43,3.191043,0.537194,0.749327,0.813395,248.06
mobilevit_xxs,clahe_sobel_s42,42,44,3.183692,0.541072,0.752687,0.817575,249.11
mobilevit_xxs,clahe_sobel_s42,42,45,3.168482,0.543915,0.754152,0.818372,250.66
mobilevit_xxs,clahe_sobel_s42,42,46,3.155550,0.547728,0.756457,0.820375,248.71
mobilevit_xxs,clahe_sobel_s42,42,47,3.147677,0.545639,0.755940,0.818975,250.90
mobilevit_xxs,clahe_sobel_s42,42,48,3.138851,0.551154,0.755897,0.820418,249.58
