model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
mobilevit_xxs,sobel_s42,42,1,7.851548,0.004783,0.020143,0.036968,273.31
mobilevit_xxs,sobel_s42,42,2,7.352296,0.019130,0.066869,0.109610,278.25
mobilevit_xxs,sobel_s42,42,3,6.804655,0.045649,0.138133,0.203063,275.51
mobilevit_xxs,sobel_s42,42,4,6.426005,0.071285,0.190224,0.265085,277.95
mobilevit_xxs,sobel_s42,42,5,6.154486,0.092807,0.228678,0.313191,273.02
mobilevit_xxs,sobel_s42,42,6,5.949008,0.119197,0.277408,0.365238,268.43
mobilevit_xxs,sobel_s42,42,7,5.783492,0.138585,0.305737,0.395635,270.59
mobilevit_xxs,sobel_s42,42,8,5.647625,0.148538,0.322260,0.413925,259.57
mobilevit_xxs,sobel_s42,42,9,5.534426,0.167022,0.347207,0.440552,268.08
mobilevit_xxs,sobel_s42,42,10,5.428320,0.179388,0.365626,0.461729,266.40
mobilevit_xxs,sobel_s42,42,11,5.348494,0.194209,0.383485,0.476658,266.17
mobilevit_xxs,sobel_s42,42,12,5.268329,0.203171,0.398458,0.494431,271.43
mobilevit_xxs,sobel_s42,42,13,5.193526,0.208988,0.405071,0.497490,272.62
mobilevit_xxs,sobel_s42,42,14,5.126077,0.217971,0.417717,0.513863,265.36
mobilevit_xxs,sobel_s42,42,15,5.070165,0.218897,0.418148,0.511105,266.63
mobilevit_xxs,sobel_s42,42,16,5.012799,0.234882,0.436093,0.529611,273.35
mobilevit_xxs,sobel_s42,42,17,4.961915,0.235658,0.440337,0.534264,272.62
mobilevit_xxs,sobel_s42,42,18,4.914737,0.247399,0.455417,0.548525,237.21
mobilevit_xxs,sobel_s42,42,19,4.872163,0.250566,0.458735,0.549818,266.45
mobilevit_xxs,sobel_s42,42,20,4.824550,0.255111,0.465477,0.557961,270.43
mobilevit_xxs,sobel_s42,42,21,4.785100,0.263470,0.474913,0.566665,268.50
mobilevit_xxs,sobel_s42,42,22,4.753086,0.265473,0.476292,0.567634,272.45
mobilevit_xxs,sobel_s42,42,23,4.712702,0.271527,0.483854,0.575669,269.34
mobilevit_xxs,sobel_s42,42,24,4.680397,0.276632,0.489347,0.581357,268.75
mobilevit_xxs,sobel_s42,42,25,4.650816,0.279778,0.491911,0.584631,266.29
mobilevit_xxs,sobel_s42,42,26,4.626797,0.283828,0.496995,0.589629,267.46
mobilevit_xxs,sobel_s42,42,27,4.596109,0.288373,0.503522,0.595273,260.90
mobilevit_xxs,sobel_s42,42,28,4.566457,0.290291,0.505633,0.595963,266.45
mobilevit_xxs,sobel_s42,42,29,4.539403,0.288675,0.501820,0.595489,269.20
mobilevit_xxs,sobel_s42,42,30,4.515514,0.298714,0.513367,0.603460,268.07
mobilevit_xxs,sobel_s42,42,31,4.500018,0.300050,0.517267,0.608285,265.78
mobilevit_xxs,sobel_s42,42,32,4.475560,0.304078,0.520627,0.609535,267.40
mobilevit_xxs,sobel_s42,42,33,4.451671,0.303475,0.521618,0.610935,270.52
mobilevit_xxs,sobel_s42,42,34,4.426923,0.304401,0.522868,0.612314,271.77
mobilevit_xxs,sobel_s42,42,35,4.408564,0.311683,0.530494,0.619854,266.38
mobilevit_xxs,sobel_s42,42,36,4.393760,0.312372,0.532885,0.621125,267.04
mobilevit_xxs,sobel_s42,42,37,4.374366,0.313514,0.534372,0.621707,272.72
mobilevit_xxs,sobel_s42,42,38,4.359599,0.317866,0.537517,0.624593,268.19
mobilevit_xxs,sobel_s42,42,39,4.352715,0.319029,0.539930,0.625843,271.76
mobilevit_xxs,sobel_s42,42,40,4.325279,0.320666,0.542407,0.628191,265.94
mobilevit_xxs,sobel_s42,42,41,4.311224,0.323057,0.542536,0.628191,264.09
mobilevit_xxs,sobel_s42,42,42,4.297879,0.324932,0.545897,0.632952,272.03
mobilevit_xxs,sobel_s42,42,43,4.285445,0.326289,0.547556,0.633857,263.62
mobilevit_xxs,sobel_s42,42,44,4.268573,0.329434,0.548138,0.635774,272.02
mobilevit_xxs,sobel_s42,42,45,4.257795,0.332256,0.550766,0.637433,277.01
mobilevit_xxs,sobel_s42,42,46,4.239987,0.330662,0.552274,0.636420,271.65
mobilevit_xxs,sobel_s42,42,47,4.234783,0.333613,0.554493,0.639113,269.24
mobilevit_xxs,sobel_s42,42,48,4.222862,0.332493,0.550830,0.636033,263.94
mobilevit_xxs,sobel_s42,42,49,4.207379,0.337103,0.556152,0.641634,262.91
mobilevit_xxs,sobel_s42,42,50,4.195806,0.337793,0.557099,0.642603,267.09
mobilevit_xxs,sobel_s42,42,51,4.192692,0.337297,0.557681,0.641548,266.24
mobilevit_xxs,sobel_s42,42,52,4.180664,0.339602,0.560396,0.645059,268.71
mobilevit_xxs,sobel_s42,42,53,4.168843,0.341477,0.561602,0.647063,266.28
mobilevit_xxs,sobel_s42,42,54,4.161060,0.340873,0.562701,0.645038,261.98
mobilevit_xxs,sobel_s42,42,55,4.151241,0.341929,0.562033,0.647127,270.05
mobilevit_xxs,sobel_s42,42,56,4.146002,0.344299,0.565415,0.650186,268.25
mobilevit_xxs,sobel_s42,42,57,4.134811,0.343265,0.564596,0.649906,267.25
mobilevit_xxs,sobel_s42,42,58,4.132218,0.344859,0.566126,0.650682,270.88
mobilevit_xxs,sobel_s42,42,59,4.118714,0.344988,0.564596,0.650509,264.77
mobilevit_xxs,sobel_s42,42,60,4.113514,0.347616,0.567526,0.651673,266.79
mobilevit_xxs,sobel_s42,42,61,4.109641,0.346733,0.567332,0.651522,276.69
mobilevit_xxs,sobel_s42,42,62,4.107808,0.346647,0.569163,0.652621,269.27
mobilevit_xxs,sobel_s42,42,63,4.100978,0.346582,0.568496,0.652470,269.96
mobilevit_xxs,sobel_s42,42,64,4.096266,0.347896,0.568646,0.653267,266.12
mobilevit_xxs,sobel_s42,42,65,4.089762,0.349060,0.571339,0.655314,264.36
mobilevit_xxs,sobel_s42,42,66,4.080051,0.350611,0.570693,0.654193,263.93
mobilevit_xxs,sobel_s42,42,67,4.082686,0.350999,0.570262,0.654107,264.02
mobilevit_xxs,sobel_s42,42,68,4.083119,0.350201,0.570564,0.654430,268.44
mobilevit_xxs,sobel_s42,42,69,4.081722,0.351020,0.571275,0.654172,265.19
mobilevit_xxs,sobel_s42,42,70,4.073851,0.350309,0.570952,0.655184,266.76
mobilevit_xxs,sobel_s42,42,71,4.067917,0.350589,0.571878,0.654560,271.44
mobilevit_xxs,sobel_s42,42,72,4.063539,0.349469,0.570973,0.654193,262.93
mobilevit_xxs,sobel_s42,42,73,4.071604,0.351989,0.572524,0.655206,268.44
mobilevit_xxs,sobel_s42,42,74,4.063124,0.349426,0.571813,0.656068,266.96
mobilevit_xxs,sobel_s42,42,75,4.060659,0.350331,0.571878,0.654990,271.52
mobilevit_xxs,sobel_s42,42,76,4.059917,0.350783,0.573300,0.655594,270.27
mobilevit_xxs,sobel_s42,42,77,4.063170,0.350934,0.571016,0.655594,265.38
mobilevit_xxs,sobel_s42,42,78,4.058068,0.350740,0.573170,0.654947,265.71
mobilevit_xxs,sobel_s42,42,79,4.061757,0.351257,0.573407,0.655012,274.01
mobilevit_xxs,sobel_s42,42,80,4.057767,0.350417,0.571189,0.653655,270.81
