model,preprocess,n_seeds,top1_mean,top1_std,top5_mean,top5_std,top10_mean,top10_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
efficientformerv2_s0,baseline,3,0.6895,0.0023,0.8522,0.0029,0.8913,0.0018,0.6775,0.0023,0.6876,0.0022
efficientformerv2_s0,clahe,3,0.6855,0.0019,0.8481,0.0016,0.8881,0.0019,0.6725,0.0023,0.6835,0.0021
efficientformerv2_s0,sobel,3,0.4796,0.0046,0.6866,0.0031,0.7539,0.0026,0.4664,0.0049,0.4762,0.0045
efficientformerv2_s0,clahe_sobel,3,0.6812,0.0009,0.8452,0.0019,0.8856,0.0007,0.6680,0.0017,0.6791,0.0011
mobilenetv2_100,baseline,3,0.6831,0.0015,0.8433,0.0021,0.8833,0.0018,0.6727,0.0024,0.6812,0.0018
mobilenetv2_100,clahe,3,0.6758,0.0005,0.8389,0.0008,0.8803,0.0013,0.6650,0.0010,0.6740,0.0007
mobilenetv2_100,sobel,3,0.4708,0.0036,0.6734,0.0042,0.7423,0.0023,0.4569,0.0029,0.4665,0.0041
mobilenetv2_100,clahe_sobel,3,0.6747,0.0017,0.8367,0.0016,0.8788,0.0016,0.6638,0.0015,0.6729,0.0016
mobilevit_xxs,baseline,3,0.5765,0.0020,0.7775,0.0010,0.8358,0.0013,0.5610,0.0016,0.5722,0.0023
mobilevit_xxs,clahe,3,0.5692,0.0006,0.7716,0.0015,0.8305,0.0021,0.5533,0.0004,0.5644,0.0007
mobilevit_xxs,sobel,3,0.3532,0.0030,0.5709,0.0030,0.6569,0.0025,0.3335,0.0028,0.3446,0.0032
mobilevit_xxs,clahe_sobel,3,0.5681,0.0008,0.7709,0.0016,0.8309,0.0012,0.5524,0.0006,0.5636,0.0004
