model,preprocess_vs_baseline,metric,n_seeds,baseline_mean,variant_mean,mean_delta,paired_t_p,wilcoxon_p
efficientformerv2_s0,clahe,top1,3,0.6895,0.6855,-0.0041,0.2027,0.5
efficientformerv2_s0,clahe,top5,3,0.8522,0.8481,-0.0041,0.03953,0.25
efficientformerv2_s0,clahe,top10,3,0.8913,0.8881,-0.0031,0.005394,0.25
efficientformerv2_s0,clahe,macro_f1,3,0.6775,0.6725,-0.0049,0.148,0.25
efficientformerv2_s0,clahe,weighted_f1,3,0.6876,0.6835,-0.0042,0.2043,0.5
efficientformerv2_s0,sobel,top1,3,0.6895,0.4796,-0.2099,0.000254,0.25
efficientformerv2_s0,sobel,top5,3,0.8522,0.6866,-0.1656,0.0002256,0.25
efficientformerv2_s0,sobel,top10,3,0.8913,0.7539,-0.1374,0.00013,0.25
efficientformerv2_s0,sobel,macro_f1,3,0.6775,0.4664,-0.2111,0.0002233,0.25
efficientformerv2_s0,sobel,weighted_f1,3,0.6876,0.4762,-0.2115,0.0002434,0.25
efficientformerv2_s0,clahe_sobel,top1,3,0.6895,0.6812,-0.0083,0.04752,0.25
efficientformerv2_s0,clahe_sobel,top5,3,0.8522,0.8452,-0.0070,0.04585,0.25
efficientformerv2_s0,clahe_sobel,top10,3,0.8913,0.8856,-0.0057,0.02601,0.25
efficientformerv2_s0,clahe_sobel,macro_f1,3,0.6775,0.6680,-0.0095,0.0535,0.25
efficientformerv2_s0,clahe_sobel,weighted_f1,3,0.6876,0.6791,-0.0085,0.04612,0.25
mobilenetv2_100,clahe,top1,3,0.6831,0.6758,-0.0073,0.007335,0.25
mobilenetv2_100,clahe,top5,3,0.8433,0.8389,-0.0044,0.06608,0.25
mobilenetv2_100,clahe,top10,3,0.8833,0.8803,-0.0030,0.01113,0.25
mobilenetv2_100,clahe,macro_f1,3,0.6727,0.6650,-0.0076,0.0198,0.25
mobilenetv2_100,clahe,weighted_f1,3,0.6812,0.6740,-0.0072,0.007458,0.25
mobilenetv2_100,sobel,top1,3,0.6831,0.4708,-0.2124,4.959e-05,0.25
mobilenetv2_100,sobel,top5,3,0.8433,0.6734,-0.1699,0.0002063,0.25
mobilenetv2_100,sobel,top10,3,0.8833,0.7423,-0.1410,3.406e-05,0.25
mobilenetv2_100,sobel,macro_f1,3,0.6727,0.4569,-0.2157,1.7e-05,0.25
mobilenetv2_100,sobel,weighted_f1,3,0.6812,0.4665,-0.2147,6.476e-05,0.25
mobilenetv2_100,clahe_sobel,top1,3,0.6831,0.6747,-0.0085,0.01058,0.25
mobilenetv2_100,clahe_sobel,top5,3,0.8433,0.8367,-0.0066,0.02902,0.25
mobilenetv2_100,clahe_sobel,top10,3,0.8833,0.8788,-0.0045,0.04756,0.25
mobilenetv2_100,clahe_sobel,macro_f1,3,0.6727,0.6638,-0.0089,0.01045,0.25
mobilenetv2_100,clahe_sobel,weighted_f1,3,0.6812,0.6729,-0.0083,0.009035,0.25
mobilevit_xxs,clahe,top1,3,0.5765,0.5692,-0.0073,0.01406,0.25
mobilevit_xxs,clahe,top5,3,0.7775,0.7716,-0.0059,0.004229,0.25
mobilevit_xxs,clahe,top10,3,0.8358,0.8305,-0.0054,0.007674,0.25
mobilevit_xxs,clahe,macro_f1,3,0.5610,0.5533,-0.0077,0.007783,0.25
mobilevit_xxs,clahe,weighted_f1,3,0.5722,0.5644,-0.0078,0.01787,0.25
mobilevit_xxs,sobel,top1,3,0.5765,0.3532,-0.2233,3.174e-05,0.25
mobilevit_xxs,sobel,top5,3,0.7775,0.5709,-0.2066,3.212e-05,0.25
mobilevit_xxs,sobel,top10,3,0.8358,0.6569,-0.1790,2.281e-05,0.25
mobilevit_xxs,sobel,macro_f1,3,0.5610,0.3335,-0.2275,3.342e-05,0.25
mobilevit_xxs,sobel,weighted_f1,3,0.5722,0.3446,-0.2277,2.877e-05,0.25
mobilevit_xxs,clahe_sobel,top1,3,0.5765,0.5681,-0.0084,0.02253,0.25
mobilevit_xxs,clahe_sobel,top5,3,0.7775,0.7709,-0.0066,0.0131,0.25
mobilevit_xxs,clahe_sobel,top10,3,0.8358,0.8309,-0.0049,0.0001987,0.25
mobilevit_xxs,clahe_sobel,macro_f1,3,0.5610,0.5524,-0.0085,0.01627,0.25
mobilevit_xxs,clahe_sobel,weighted_f1,3,0.5722,0.5636,-0.0087,0.02267,0.25
