model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
vit_base_patch16_224,baseline_s42,42,1,6.757110,0.332644,0.544497,0.627911,512.32
vit_base_patch16_224,baseline_s42,42,2,3.846841,0.537086,0.756975,0.819944,486.72
vit_base_patch16_224,baseline_s42,42,3,3.061353,0.630949,0.824985,0.875180,489.47
vit_base_patch16_224,baseline_s42,42,4,2.661094,0.669833,0.853142,0.895732,491.67
vit_base_patch16_224,baseline_s42,42,5,2.418006,0.703225,0.871712,0.910274,492.61
vit_base_patch16_224,baseline_s42,42,6,2.251286,0.718542,0.881622,0.915810,492.60
vit_base_patch16_224,baseline_s42,42,7,2.124369,0.732545,0.888322,0.919774,487.70
vit_base_patch16_224,baseline_s42,42,8,2.019663,0.741830,0.891833,0.923393,487.21
vit_base_patch16_224,baseline_s42,42,9,1.942142,0.749521,0.894828,0.925505,494.34
vit_base_patch16_224,baseline_s42,42,10,1.875981,0.754239,0.898447,0.928133,487.53
vit_base_patch16_224,baseline_s42,42,11,1.825430,0.758375,0.899502,0.928628,492.03
vit_base_patch16_224,baseline_s42,42,12,1.777101,0.762963,0.899955,0.927853,496.91
vit_base_patch16_224,baseline_s42,42,13,1.736241,0.765656,0.902131,0.929382,493.26
vit_base_patch16_224,baseline_s42,42,14,1.709877,0.770697,0.904716,0.931300,494.80
vit_base_patch16_224,baseline_s42,42,15,1.676539,0.773347,0.905254,0.932528,492.50
vit_base_patch16_224,baseline_s42,42,16,1.654885,0.778474,0.906159,0.932011,492.90
vit_base_patch16_224,baseline_s42,42,17,1.630703,0.771904,0.902260,0.929792,491.64
vit_base_patch16_224,baseline_s42,42,18,1.615790,0.779013,0.906418,0.932054,489.96
vit_base_patch16_224,baseline_s42,42,19,1.596047,0.781964,0.906978,0.931494,493.18
vit_base_patch16_224,baseline_s42,42,20,1.577509,0.784356,0.908012,0.933993,490.36
vit_base_patch16_224,baseline_s42,42,21,1.565771,0.785174,0.908249,0.932786,491.55
vit_base_patch16_224,baseline_s42,42,22,1.547179,0.786014,0.908270,0.934725,491.49
vit_base_patch16_224,baseline_s42,42,23,1.539395,0.788190,0.909067,0.933583,487.60
vit_base_patch16_224,baseline_s42,42,24,1.520646,0.787975,0.907883,0.932700,491.09
vit_base_patch16_224,baseline_s42,42,25,1.513642,0.790517,0.911717,0.936168,491.24
vit_base_patch16_224,baseline_s42,42,26,1.500654,0.791077,0.911179,0.934790,495.88
vit_base_patch16_224,baseline_s42,42,27,1.488651,0.793770,0.910403,0.934359,489.44
vit_base_patch16_224,baseline_s42,42,28,1.484755,0.792994,0.910511,0.934122,488.64
vit_base_patch16_224,baseline_s42,42,29,1.474024,0.797238,0.912730,0.936061,487.80
vit_base_patch16_224,baseline_s42,42,30,1.461465,0.799091,0.914561,0.936858,491.29
vit_base_patch16_224,baseline_s42,42,31,1.454410,0.799888,0.915379,0.938193,487.34
