model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
vit_base_patch16_224,clahe_s42,42,1,6.797739,0.321829,0.528749,0.611883,760.00
vit_base_patch16_224,clahe_s42,42,2,3.926060,0.527952,0.749219,0.811952,754.86
vit_base_patch16_224,clahe_s42,42,3,3.132113,0.622870,0.821086,0.870592,751.93
vit_base_patch16_224,clahe_s42,42,4,2.722967,0.661173,0.848338,0.892630,746.00
vit_base_patch16_224,clahe_s42,42,5,2.475244,0.691850,0.864043,0.903660,750.06
vit_base_patch16_224,clahe_s42,42,6,2.302168,0.708158,0.873522,0.910123,754.12
vit_base_patch16_224,clahe_s42,42,7,2.172052,0.722334,0.880782,0.914798,720.16
vit_base_patch16_224,clahe_s42,42,8,2.066054,0.736013,0.889614,0.921799,727.17
vit_base_patch16_224,clahe_s42,42,9,1.984195,0.742864,0.890821,0.921584,717.45
vit_base_patch16_224,clahe_s42,42,10,1.915722,0.746203,0.891510,0.923803,738.00
vit_base_patch16_224,clahe_s42,42,11,1.858334,0.753872,0.897585,0.926323,749.88
vit_base_patch16_224,clahe_s42,42,12,1.808004,0.760077,0.898059,0.926603,750.18
vit_base_patch16_224,clahe_s42,42,13,1.766845,0.762662,0.899395,0.927487,746.36
vit_base_patch16_224,clahe_s42,42,14,1.733402,0.761671,0.899072,0.928241,744.15
vit_base_patch16_224,clahe_s42,42,15,1.703654,0.767057,0.900666,0.928671,747.40
vit_base_patch16_224,clahe_s42,42,16,1.678695,0.771494,0.901721,0.928758,746.30
vit_base_patch16_224,clahe_s42,42,17,1.651536,0.772873,0.903315,0.930416,738.22
vit_base_patch16_224,clahe_s42,42,18,1.634444,0.770073,0.902389,0.928348,741.91
vit_base_patch16_224,clahe_s42,42,19,1.616252,0.775803,0.903229,0.930223,724.86
vit_base_patch16_224,clahe_s42,42,20,1.596350,0.778948,0.905254,0.930373,736.30
vit_base_patch16_224,clahe_s42,42,21,1.584934,0.778647,0.905276,0.931170,728.90
vit_base_patch16_224,clahe_s42,42,22,1.564802,0.778819,0.905793,0.931644,758.75
vit_base_patch16_224,clahe_s42,42,23,1.556519,0.782934,0.905190,0.930653,738.82
vit_base_patch16_224,clahe_s42,42,24,1.537494,0.781253,0.906288,0.932204,780.07
vit_base_patch16_224,clahe_s42,42,25,1.530073,0.783106,0.906094,0.930373,762.67
vit_base_patch16_224,clahe_s42,42,26,1.515095,0.785993,0.907602,0.932614,729.84
vit_base_patch16_224,clahe_s42,42,27,1.503748,0.787393,0.907667,0.932851,749.67
vit_base_patch16_224,clahe_s42,42,28,1.500347,0.789741,0.907947,0.932097,750.13
vit_base_patch16_224,clahe_s42,42,29,1.487278,0.789160,0.908938,0.932291,746.32
vit_base_patch16_224,clahe_s42,42,30,1.474914,0.791163,0.908981,0.932334,737.71
vit_base_patch16_224,clahe_s42,42,31,1.467215,0.794696,0.909908,0.932377,759.50
vit_base_patch16_224,clahe_s42,42,32,1.464133,0.794179,0.909584,0.933195,738.06
vit_base_patch16_224,clahe_s42,42,33,1.448256,0.797949,0.913074,0.936125,728.37
vit_base_patch16_224,clahe_s42,42,34,1.442138,0.798380,0.912083,0.935350,750.76
vit_base_patch16_224,clahe_s42,42,35,1.433839,0.799996,0.913204,0.934531,729.43
vit_base_patch16_224,clahe_s42,42,36,1.427156,0.803938,0.913699,0.936685,727.92
vit_base_patch16_224,clahe_s42,42,37,1.414763,0.803486,0.915681,0.936815,729.70
vit_base_patch16_224,clahe_s42,42,38,1.408091,0.800900,0.914302,0.935156,743.16
vit_base_patch16_224,clahe_s42,42,39,1.403779,0.803076,0.914755,0.937073,757.47
vit_base_patch16_224,clahe_s42,42,40,1.394080,0.809087,0.916090,0.938344,730.06
vit_base_patch16_224,clahe_s42,42,41,1.387247,0.808871,0.914776,0.937396,756.79
vit_base_patch16_224,clahe_s42,42,42,1.381620,0.807665,0.915767,0.937526,757.99
