model,run_tag,seed,epoch,train_loss,val_top1,val_top5,val_top10,epoch_seconds
vit_base_patch16_224,sobel_s42,42,1,7.690368,0.056442,0.143971,0.200974,539.54
vit_base_patch16_224,sobel_s42,42,2,5.781801,0.217950,0.418902,0.510955,535.10
vit_base_patch16_224,sobel_s42,42,3,4.757987,0.327215,0.551261,0.636334,536.73
vit_base_patch16_224,sobel_s42,42,4,4.194413,0.384541,0.606799,0.688231,544.36
vit_base_patch16_224,sobel_s42,42,5,3.838307,0.418255,0.643616,0.719662,525.34
vit_base_patch16_224,sobel_s42,42,6,3.585052,0.449837,0.668972,0.740171,534.01
vit_base_patch16_224,sobel_s42,42,7,3.379544,0.466749,0.683578,0.756264,538.87
vit_base_patch16_224,sobel_s42,42,8,3.206941,0.483617,0.700403,0.766540,542.03
vit_base_patch16_224,sobel_s42,42,9,3.056987,0.494043,0.708481,0.774618,532.06
vit_base_patch16_224,sobel_s42,42,10,2.926932,0.508391,0.719016,0.782503,523.59
vit_base_patch16_224,sobel_s42,42,11,2.811346,0.513583,0.721816,0.786618,511.56
vit_base_patch16_224,sobel_s42,42,12,2.709938,0.515974,0.719339,0.780909,512.62
vit_base_patch16_224,sobel_s42,42,13,2.612786,0.527887,0.731425,0.791917,511.36
vit_base_patch16_224,sobel_s42,42,14,2.542104,0.528081,0.730477,0.791163,529.73
vit_base_patch16_224,sobel_s42,42,15,2.466324,0.534975,0.736035,0.794588,528.92
vit_base_patch16_224,sobel_s42,42,16,2.393375,0.534027,0.734117,0.793167,508.92
vit_base_patch16_224,sobel_s42,42,17,2.331886,0.541330,0.738577,0.797475,510.98
vit_base_patch16_224,sobel_s42,42,18,2.278588,0.547987,0.745988,0.801741,526.58
vit_base_patch16_224,sobel_s42,42,19,2.232949,0.549689,0.744760,0.799371,507.77
vit_base_patch16_224,sobel_s42,42,20,2.178013,0.553846,0.748185,0.803938,510.10
vit_base_patch16_224,sobel_s42,42,21,2.142683,0.557444,0.749284,0.801676,520.29
vit_base_patch16_224,sobel_s42,42,22,2.100680,0.554364,0.745449,0.801331,527.67
vit_base_patch16_224,sobel_s42,42,23,2.067271,0.559878,0.752020,0.804843,528.15
vit_base_patch16_224,sobel_s42,42,24,2.032396,0.563282,0.749327,0.803421,518.99
vit_base_patch16_224,sobel_s42,42,25,2.000826,0.560439,0.750189,0.802279,525.70
vit_base_patch16_224,sobel_s42,42,26,1.968697,0.564273,0.750425,0.803378,525.77
vit_base_patch16_224,sobel_s42,42,27,1.943962,0.565264,0.751007,0.803593,527.60
vit_base_patch16_224,sobel_s42,42,28,1.925849,0.567117,0.751847,0.804369,509.87
vit_base_patch16_224,sobel_s42,42,29,1.904666,0.570284,0.753032,0.805101,525.19
vit_base_patch16_224,sobel_s42,42,30,1.873590,0.569551,0.755273,0.805920,518.84
vit_base_patch16_224,sobel_s42,42,31,1.860153,0.567828,0.751373,0.802882,520.21
vit_base_patch16_224,sobel_s42,42,32,1.842165,0.580517,0.760077,0.810466,506.62
vit_base_patch16_224,sobel_s42,42,33,1.820437,0.577888,0.756953,0.808268,514.40
vit_base_patch16_224,sobel_s42,42,34,1.800228,0.576488,0.756544,0.807514,524.76
vit_base_patch16_224,sobel_s42,42,35,1.782376,0.580129,0.759086,0.808634,527.84
vit_base_patch16_224,sobel_s42,42,36,1.767864,0.585062,0.760701,0.809733,526.69
vit_base_patch16_224,sobel_s42,42,37,1.746709,0.588229,0.763007,0.813072,532.01
vit_base_patch16_224,sobel_s42,42,38,1.732578,0.585407,0.763351,0.810832,513.96
vit_base_patch16_224,sobel_s42,42,39,1.721518,0.585385,0.763782,0.811327,534.15
vit_base_patch16_224,sobel_s42,42,40,1.705607,0.590922,0.767681,0.816153,528.58
vit_base_patch16_224,sobel_s42,42,41,1.691471,0.590771,0.765592,0.813352,519.43
vit_base_patch16_224,sobel_s42,42,42,1.679685,0.594713,0.770439,0.818156,517.11
vit_base_patch16_224,sobel_s42,42,43,1.669523,0.600207,0.768888,0.817467,514.35
vit_base_patch16_224,sobel_s42,42,44,1.657208,0.601758,0.771344,0.819341,508.14
vit_base_patch16_224,sobel_s42,42,45,1.641696,0.599733,0.770611,0.817682,508.28
vit_base_patch16_224,sobel_s42,42,46,1.628956,0.605420,0.772916,0.820311,508.31
vit_base_patch16_224,sobel_s42,42,47,1.621957,0.610547,0.774877,0.821237,508.11
vit_base_patch16_224,sobel_s42,42,48,1.608681,0.610784,0.775674,0.822314,508.24
vit_base_patch16_224,sobel_s42,42,49,1.599413,0.604989,0.774467,0.819643,528.36
vit_base_patch16_224,sobel_s42,42,50,1.587478,0.613240,0.779271,0.826256,509.20
vit_base_patch16_224,sobel_s42,42,51,1.579371,0.614274,0.780370,0.824899,509.96
vit_base_patch16_224,sobel_s42,42,52,1.567743,0.615050,0.780112,0.824985,535.16
vit_base_patch16_224,sobel_s42,42,53,1.556798,0.616601,0.780607,0.826407,540.07
vit_base_patch16_224,sobel_s42,42,54,1.545393,0.621750,0.784808,0.828475,536.78
vit_base_patch16_224,sobel_s42,42,55,1.542110,0.620716,0.784269,0.830716,537.62
vit_base_patch16_224,sobel_s42,42,56,1.534231,0.621017,0.785217,0.829272,540.97
vit_base_patch16_224,sobel_s42,42,57,1.525164,0.625477,0.787372,0.831578,533.97
vit_base_patch16_224,sobel_s42,42,58,1.518799,0.625907,0.789957,0.834270,535.60
vit_base_patch16_224,sobel_s42,42,59,1.510420,0.629462,0.790991,0.834443,536.21
vit_base_patch16_224,sobel_s42,42,60,1.499445,0.630324,0.791874,0.833947,536.74
vit_base_patch16_224,sobel_s42,42,61,1.499784,0.630432,0.792520,0.834981,537.47
vit_base_patch16_224,sobel_s42,42,62,1.491582,0.631078,0.791379,0.834917,530.41
vit_base_patch16_224,sobel_s42,42,63,1.485670,0.633857,0.794114,0.836037,528.67
vit_base_patch16_224,sobel_s42,42,64,1.477703,0.635085,0.794524,0.835865,518.16
vit_base_patch16_224,sobel_s42,42,65,1.473335,0.635020,0.794287,0.836834,506.83
vit_base_patch16_224,sobel_s42,42,66,1.467473,0.638144,0.796463,0.839161,509.42
vit_base_patch16_224,sobel_s42,42,67,1.462692,0.638295,0.796204,0.838277,530.46
vit_base_patch16_224,sobel_s42,42,68,1.461058,0.639846,0.796613,0.839075,529.61
vit_base_patch16_224,sobel_s42,42,69,1.454569,0.639932,0.796894,0.839075,520.70
vit_base_patch16_224,sobel_s42,42,70,1.450807,0.640751,0.797023,0.838730,513.19
vit_base_patch16_224,sobel_s42,42,71,1.450206,0.642431,0.799242,0.840302,520.58
vit_base_patch16_224,sobel_s42,42,72,1.447133,0.642603,0.798445,0.840130,504.92
vit_base_patch16_224,sobel_s42,42,73,1.444960,0.642840,0.798854,0.840604,515.69
vit_base_patch16_224,sobel_s42,42,74,1.441259,0.643336,0.799134,0.840561,508.98
vit_base_patch16_224,sobel_s42,42,75,1.441357,0.643616,0.799112,0.840583,540.25
vit_base_patch16_224,sobel_s42,42,76,1.440927,0.644047,0.799608,0.841638,522.77
vit_base_patch16_224,sobel_s42,42,77,1.441587,0.644477,0.799673,0.841552,526.70
vit_base_patch16_224,sobel_s42,42,78,1.440579,0.644391,0.799543,0.841617,528.13
vit_base_patch16_224,sobel_s42,42,79,1.435589,0.644434,0.799220,0.841380,514.14
vit_base_patch16_224,sobel_s42,42,80,1.439042,0.644456,0.799177,0.841487,508.04
